,server,serve,serve_x,serve_y,server_shot_type,server_shot_hand,server_x,server_y,returner_x,returner_y,returner_shot_type,returner_shot_hand,num_strokes,is_game_point,is_break_point,winner
0,0,0,1.86,16.8,3,0,1.42,2.33,0.05,25.59,1,1,3,0,0,0
1,0,1,7.05,16.97,3,1,1.66,0.43,8.14,27.07,3,0,4,0,0,0
2,0,0,8.04,17.8,3,1,1.11,-0.62,3.03,27.07,1,1,10,0,0,0
3,1,1,4.44,16.24,3,0,2.72,-1.83,1.54,25.97,3,0,7,0,0,0
4,1,0,5.71,16.4,3,0,1.03,-1.19,9.54,24.91,3,1,12,0,0,0
5,1,0,4.66,16.24,3,0,4.07,4.39,4.0,25.84,1,1,4,0,0,1
6,1,1,5.83,16.72,3,1,7.03,-0.55,7.71,25.84,3,1,13,0,0,0
7,1,0,0.98,17.3,3,0,9.3,2.77,-0.69,27.45,1,0,3,0,1,0
8,0,0,5.58,5.41,4,0,3.52,21.85,7.38,-2.53,3,0,2,0,0,0
9,0,0,3.87,10.83,3,0,5.04,29.82,2.51,0.97,3,0,4,0,0,0
10,0,0,5.14,6.51,3,1,4.71,21.65,7.15,-0.22,1,1,6,0,0,0
11,1,0,6.68,4.64,5,1,2.94,17.43,3.23,7.11,3,1,12,0,0,0
12,1,1,2.77,6.71,4,0,5.14,24.45,0.97,0.61,3,0,2,0,0,1
13,1,0,7.55,6.66,3,1,-0.01,22.69,4.07,-0.08,3,1,4,0,0,0
14,1,0,1.01,7.63,3,0,9.74,23.77,-1.1,1.22,3,1,3,0,0,1
15,1,0,5.03,6.32,3,1,6.02,26.57,1.49,-0.02,3,1,7,0,0,0
16,1,0,3.07,6.41,4,0,6.09,24.11,0.76,-0.02,3,0,2,0,0,1
17,1,0,7.98,5.93,4,0,3.62,24.79,8.98,-1.95,3,0,2,0,0,1
18,1,0,1.16,7.9,3,0,6.25,23.89,6.37,-1.56,3,0,4,0,1,1
19,0,0,4.53,17.89,3,1,1.83,0.09,2.75,26.09,3,1,6,0,0,0
20,0,0,7.15,17.46,3,1,2.57,1.07,7.98,26.82,3,0,5,0,0,0
21,1,1,3.19,16.16,3,0,4.6,-0.94,2.24,24.45,3,1,3,0,0,0
22,1,0,8.4,16.16,4,0,3.91,-0.78,11.36,24.79,7,1,2,0,0,1
23,1,0,4.53,15.92,3,0,6.96,8.13,4.06,24.45,1,1,3,0,0,1
24,1,1,5.88,16.48,3,0,0.73,-1.06,8.3,22.17,3,1,11,0,0,0
25,1,1,3.68,16.56,3,1,7.04,-0.32,3.4,16.67,5,0,6,0,0,1
26,1,0,7.76,16.0,4,0,4.05,-0.65,9.5,25.37,7,1,2,1,0,1
27,0,0,8.23,6.96,5,1,6.94,16.51,7.06,8.46,0,1,8,0,0,0
28,0,1,2.61,11.58,3,0,6.25,24.68,1.3,-1.53,3,0,14,0,0,0
29,0,1,5.31,5.79,3,1,5.62,23.12,2.18,-0.22,3,0,4,0,0,0
30,0,0,1.86,8.77,3,1,6.34,25.61,0.71,0.12,3,0,3,1,0,0
31,1,1,7.08,6.81,3,1,5.58,22.37,-1.25,0.05,3,1,7,0,0,1
32,1,1,1.83,8.0,3,1,2.76,26.82,7.69,1.25,3,0,16,0,0,1
33,1,1,5.3,6.36,3,0,3.21,24.79,6.87,-1.5,3,0,4,0,0,1
34,1,0,4.13,7.48,3,0,2.72,24.33,2.93,0.19,7,0,3,1,0,1
35,0,1,1.4,16.64,3,0,2.98,0.09,0.53,25.49,1,1,11,0,0,1
36,0,0,4.74,15.53,3,0,6.53,-1.28,2.9,24.22,3,0,6,0,0,0
37,0,1,1.68,16.32,3,1,2.88,0.68,6.16,26.33,3,0,11,0,0,0
38,0,0,5.08,16.8,3,0,5.48,-0.97,2.6,25.84,3,1,22,0,0,0
39,0,0,0.86,16.0,3,0,8.71,1.18,4.95,27.07,3,0,4,1,0,0
40,1,0,1.63,16.26,5,0,3.2,4.53,8.6,25.97,3,1,5,0,0,0
41,1,0,8.69,17.43,3,0,6.13,3.91,11.03,26.21,7,1,3,0,0,1
42,1,0,4.63,17.09,4,0,5.46,-0.39,4.03,26.45,7,1,2,0,0,1
43,1,1,7.35,16.26,3,0,2.37,1.59,9.57,27.57,3,1,4,0,0,0
45,1,1,8.08,15.54,3,0,3.52,0.57,9.82,22.37,3,1,3,1,0,1
46,0,1,2.05,16.84,3,0,4.15,0.71,8.93,29.41,3,0,4,0,0,0
47,0,1,6.16,15.85,3,0,2.52,-1.59,7.73,26.33,3,0,4,0,0,0
49,0,0,5.13,16.67,3,0,4.38,1.94,0.23,25.61,3,1,4,1,0,0
50,1,0,5.24,6.79,4,0,3.74,23.01,6.02,-1.16,7,1,2,0,0,1
51,1,0,7.76,6.49,5,0,4.43,19.97,1.79,6.14,3,1,19,0,0,0
52,1,1,3.14,7.48,3,0,6.12,24.56,1.62,0.5,3,1,3,0,0,1
53,1,1,7.34,6.44,3,0,4.17,26.57,1.97,-0.12,3,1,7,0,0,1
54,1,0,1.6,7.91,4,0,6.02,24.68,-1.78,1.71,7,1,2,1,0,1
55,0,1,5.9,5.94,4,0,2.75,24.11,8.21,-2.22,7,0,2,0,0,0
56,0,0,2.89,9.56,3,1,5.34,26.94,5.77,1.22,3,1,5,0,0,1
57,0,0,5.0,5.94,4,0,2.97,23.55,6.23,-2.13,7,0,2,0,0,0
58,0,0,4.92,10.41,1,0,4.18,30.37,5.01,3.1,3,0,6,0,0,0
60,1,1,3.95,17.35,3,1,8.9,-0.78,3.61,23.12,3,0,15,0,0,0
61,1,0,8.08,17.01,3,0,9.4,-1.13,1.14,26.82,1,0,5,0,0,0
63,1,0,7.63,16.01,3,1,7.23,-1.0,9.52,25.14,7,1,3,0,0,0
64,0,1,1.24,16.76,3,0,10.16,-0.19,-0.29,24.22,7,1,3,0,0,1
65,0,0,8.25,16.67,3,0,4.03,1.59,-1.22,26.82,3,1,4,0,0,0
66,0,0,1.24,16.18,3,1,5.66,-1.98,-1.38,25.49,7,1,3,0,0,1
67,0,1,5.42,16.51,3,0,1.89,3.99,7.15,28.08,1,0,7,0,0,0
68,0,0,0.93,15.94,3,0,1.22,0.68,2.44,27.19,3,1,14,0,0,0
69,0,0,4.94,16.1,3,1,0.86,-0.19,7.69,28.47,3,0,11,0,0,1
70,0,0,1.63,17.52,3,0,7.52,5.6,3.71,28.74,1,1,7,0,0,0
71,0,0,5.2,16.59,3,0,1.36,-0.94,9.23,26.33,3,0,8,0,0,1
72,0,1,1.4,15.77,3,0,3.01,-0.84,8.28,25.61,3,0,8,0,0,0
73,0,0,4.86,15.46,3,1,0.63,0.47,3.19,25.61,1,1,10,1,0,0
74,1,1,7.45,6.54,2,0,8.87,21.14,2.69,-0.55,3,1,7,0,0,1
75,1,0,7.71,7.0,1,0,5.4,27.95,2.75,0.26,3,0,14,0,0,0
76,1,0,4.86,6.49,3,1,3.08,26.82,8.53,0.5,3,0,8,0,0,0
77,1,0,5.65,5.89,3,1,3.65,23.89,1.72,-0.12,3,1,7,0,1,0
81,1,1,4.38,17.18,1,1,8.36,5.99,6.52,20.45,2,1,7,0,0,1
82,1,0,7.73,16.1,2,1,7.73,7.26,7.82,15.77,1,1,12,0,0,0
83,1,0,0.89,17.09,4,0,5.42,-0.29,-0.73,25.26,7,0,2,0,0,1
84,1,1,7.25,16.1,3,0,4.24,1.98,6.59,17.26,5,1,11,0,0,0
85,1,0,3.67,16.76,5,0,4.84,5.99,7.06,26.69,3,1,7,0,0,1
86,1,0,8.57,16.67,4,0,4.04,-0.39,10.45,24.68,7,1,2,1,0,1
87,0,1,2.74,17.52,3,1,4.55,-0.15,8.12,24.45,3,0,4,0,0,0
88,0,1,5.51,17.35,3,1,3.19,-0.25,4.12,26.94,3,1,4,0,0,0
89,0,1,4.19,16.51,4,0,5.95,-0.29,2.57,24.79,7,0,2,0,0,0
90,0,1,8.41,17.26,4,0,4.44,-0.29,9.17,23.77,7,0,2,1,0,0
91,1,0,5.04,5.22,4,0,4.07,23.77,5.0,-1.22,1,1,2,0,0,1
92,1,1,4.78,4.26,4,0,6.39,12.58,2.23,-0.65,7,0,2,0,0,0
93,1,0,2.13,7.91,3,0,9.42,23.23,-0.06,-1.1,3,1,11,0,0,0
94,1,1,6.25,6.34,3,1,3.43,25.97,8.71,-1.25,1,0,16,0,0,1
95,1,0,1.74,7.05,1,0,6.5,17.78,2.38,0.93,2,1,11,0,1,0
96,0,0,8.19,6.79,3,0,7.28,22.58,7.13,-0.29,3,1,8,0,0,1
97,0,0,2.04,10.23,3,0,6.65,24.45,-0.56,1.07,7,0,3,0,0,0
98,0,0,8.2,8.13,4,0,3.26,25.61,10.8,-0.94,7,1,2,0,0,0
99,0,0,8.14,6.14,3,1,7.62,27.83,4.6,-0.19,3,0,11,0,0,0
100,1,0,4.0,17.52,3,0,2.04,0.5,3.17,26.09,7,1,3,0,0,1
102,1,0,1.27,16.42,4,0,5.43,-0.15,0.4,24.68,7,0,2,0,0,1
103,1,1,0.97,17.18,5,1,6.99,6.54,8.37,24.45,1,1,5,1,0,1
104,0,0,3.5,17.87,3,0,1.6,-0.84,7.09,24.68,2,0,16,0,0,0
105,0,0,4.91,16.92,3,1,1.13,-0.25,8.47,25.61,3,0,7,0,0,1
106,0,0,0.95,16.84,3,1,2.87,5.99,7.92,24.45,3,0,4,0,0,0
107,0,0,5.28,16.1,3,1,2.34,-0.65,6.71,26.09,3,0,11,0,0,1
108,0,0,1.3,16.26,3,0,5.62,-0.94,-1.16,25.02,7,1,3,0,0,1
109,0,0,5.07,16.76,3,0,6.26,-1.86,2.55,23.23,3,1,9,0,0,0
110,0,0,8.07,17.18,3,0,3.23,2.21,9.35,26.21,7,0,3,0,0,0
111,1,0,6.08,6.19,3,0,5.77,24.22,2.98,-0.45,3,1,4,0,0,0
113,1,1,7.9,6.95,4,0,4.14,24.45,8.48,0.19,3,0,2,0,0,1
114,1,0,4.58,7.0,4,0,5.38,24.68,3.69,0.02,7,0,2,0,0,1
115,1,1,5.6,7.42,4,0,4.25,24.91,6.36,0.58,7,1,2,1,0,1
116,0,1,7.69,7.11,3,0,4.92,26.69,10.35,-2.04,7,1,3,0,0,1
117,0,0,4.46,8.55,0,0,5.15,15.62,9.75,-1.22,6,1,7,0,0,0
118,0,0,4.65,6.74,4,0,2.67,23.23,6.4,-1.22,7,0,2,0,0,0
119,0,0,4.65,8.86,1,0,-0.29,29.27,8.03,0.61,3,1,7,0,0,1
120,0,0,4.43,6.95,3,0,5.84,25.14,1.16,-1.16,3,0,4,0,0,0
121,0,0,4.82,8.29,3,1,8.6,26.09,7.25,1.33,3,0,17,0,0,1
122,0,0,8.1,7.16,4,0,2.74,24.68,10.8,-0.91,3,1,2,0,0,0
123,0,0,6.08,7.85,5,1,6.67,21.04,2.58,0.12,3,0,7,1,0,0
124,1,0,4.41,16.42,4,0,5.94,-0.12,3.41,25.84,7,1,2,0,0,1
125,1,0,5.89,16.42,1,1,7.75,-2.1,6.3,22.9,3,0,6,0,0,0
126,1,0,2.38,17.43,1,1,7.72,-0.84,8.94,25.84,3,1,9,0,0,0
127,1,0,8.29,15.88,3,0,4.07,-0.01,4.23,26.35,3,0,4,0,0,0
128,1,0,3.21,16.24,3,1,7.01,-1.4,4.57,25.07,3,1,12,0,0,1
129,1,1,6.49,16.64,3,1,7.52,-1.69,2.23,25.19,3,0,5,0,1,0
